電気機器,漏電遮断器（ELB）は零相変流器（ZCT）を用いて回路の漏電を検知する。,正解,流れ込む電流と戻る電流の差（地絡電流）を見ます。
電気機器,無停電電源装置（UPS）は停電時に蓄電池の直流をインバータで交流に変えて供給する。,正解,コンピュータなどの重要な負荷を保護します。
電気機器,放電灯（蛍光灯等）には電流の増加を抑えるための安定器（バラスト）が必要である。,正解,放電が始まると抵抗が減少する負抵抗特性を持つためです。
電気機器,放電加工機は電極と工作物の間に火花放電を発生させて金属を削り取る機器である。,正解,硬い金属の精密加工に適しています。
電気機器,変流器（CT）を回路から外す際は、まず二次側を短絡しなければならない。,正解,開放すると二次側に高電圧が発生し大変危険です。
電気機器,変流器（CT）の定格二次電流は日本では一般に5Aまたは1Aが標準である。,正解,計器やリレーの標準仕様に合わせています。
電気機器,変圧器の励磁突入電流は、投入直後の数サイクルで定格電流の数倍から十数倍に達することがある。,正解,磁気飽和によって生じる現象です。
電気機器,変圧器の保護に用いられる比率差動リレーは一次側と二次側の電流の差を監視する。,正解,内部故障を高速に検知するための主要な保護方式です。
電気機器,分路リアクトルは、軽負荷時の送電線で発生する電圧上昇（フェランチ効果）を抑制するために設置される。,正解,遅れ無効電力を消費して電圧を下げます。
電気機器,避雷器の「制限電圧」とは放電中に避雷器の両端子間に残る電圧のことである。,正解,この電圧が機器の絶縁耐力より低い必要があります。
電気機器,避雷器（LA）は過電圧が発生したときのみ放電し通常は絶縁を保つ装置である。,正解,雷から設備を守るための必須機器です。
電気機器,避雷器（LA）は、雷による過電圧が発生した際に接地へ放流し、機器を保護する装置である。,正解,異常電圧のみを逃がします。
電気機器,燃料電池は水素と酸素の化学反応を利用して発電し、排水以外に有害物質を出さない。,正解,クリーンな次世代電源として期待されています。
電気機器,燃料電池は、水素と酸素の化学反応によって直接電気エネルギーを取り出す装置である。,正解,発電時に水しか出さないクリーンなエネルギー源です。
電気機器,熱電対は2種類の異なる金属をつなぎ、接合点の温度差による起電力を測定するセンサである。,正解,ゼーベック効果を利用した温度測定です。
電気機器,電力用変圧器の油の劣化を判定する指標として「酸価」が用いられる。,正解,酸化が進むと酸価が上昇し、絶縁性能が低下します。
電気機器,電力用トランジスタ（IGBT等）はスイッチング動作により電力を制御する。,正解,高速にON/OFFを繰り返すことで電圧や周波数を調整します。
